genres_position0,genres_position1,genres_position2,genres_freq,production_companies_position0,production_companies_position1,production_companies_freq,director_position0,director_freq
Animation,Adventure,Comedy,1,others,others,1,Jorger.gutiérrez,1
Drama,Romance,no option,53,others,others,2,Georgetillmanjr.,2
Drama,Comedy,no option,40,AmblinEntertainment,others,1,Lassehallström,4
Family,Adventure,Comedy,1,others,others,1,Paultibbitt,1
Fantasy,Comedy,Animation,1,DreamWorksAnimation,others,11,Timjohnson,1
War,Drama,Action,2,others,others,1,Davidayer,5
Drama,ScienceFiction,Thriller,2,others,others,1,Paulmcguigan,1
Comedy,Animation,Family,2,others,others,6,Stevemartino,2
Animation,Comedy,Family,3,others,others,1,Peterlepeniotis,1
Family,Drama,no option,5,others,others,1,Charlesmartinsmith,3
ScienceFiction,Thriller,Drama,4,others,others,1,Deanisraelite,2
Thriller,Drama,no option,18,others,others,1,Jorgedorado,1
Horror,Thriller,no option,78,others,others,1,Christopherlandon,5
Drama,War,no option,10,LegendaryPictures,others,1,Angelinajolie,3
Comedy,no option,no option,138,others,others,1,Seananders,5
Drama,ScienceFiction,no option,6,others,others,1,Phillipnoyce,1
Drama,Romance,no option,53,others,others,1,Shanafeste,1
Comedy,no option,no option,138,others,others,1,Benfalcone,3
Comedy,no option,no option,138,others,others,1,Jakekasdan,4
Drama,War,no option,10,others,others,1,Justinkurzel,2
Action,Thriller,Mystery,6,others,others,1,Jaumecollet-serra,7
Comedy,Romance,no option,47,others,others,2,Tomgormican,2
Fantasy,Comedy,no option,1,WaltDisneyPictures,others,2,Robmarshall,3
Adventure,Animation,Comedy,1,others,others,1,Conradvernon,1
Drama,Comedy,Romance,10,others,others,1,Cameroncrowe,2
Romance,Drama,no option,25,others,others,1,Joshboone,2
Comedy,Romance,no option,47,others,others,1,Stevepink,2
Crime,Thriller,no option,20,others,others,1,Mathewcullen,1
Animation,Action,ScienceFiction,1,others,others,1,Carlupsdell,1
Animation,Comedy,Adventure,4,others,others,1,Bobsgannaway,2
Family,Comedy,no option,6,WaltDisneyPictures,others,1,Miguelarteta,3
Thriller,Action,ScienceFiction,4,others,others,1,Vicarmstrong,1
Animation,Action,no option,1,others,others,1,Jayoliva,1
Action,Thriller,no option,42,others,others,1,Stevenquale,3
Drama,Romance,Thriller,3,others,others,1,Samtaylor-johnson,1
Romance,Drama,no option,25,others,others,1,Olivierdahan,1
Comedy,Fantasy,no option,3,others,others,1,Sethmacfarlane,3
Drama,Romance,no option,53,others,others,1,Arieposin,1
Action,Comedy,Crime,12,others,others,1,Jaredhess,1
Comedy,no option,no option,138,others,others,1,Jonfavreau,4
Music,no option,no option,5,others,others,1,Duaneadler,2
Drama,Comedy,Romance,10,others,others,1,Michaeldowse,3
Comedy,Drama,no option,79,others,others,1,Eugenioderbez,1
Family,Animation,Adventure,4,others,others,4,Kylebalda,3
Horror,Thriller,no option,78,others,others,1,Tiwest,4
Comedy,Adventure,no option,1,others,others,1,Davidkoepp,2
Mystery,Thriller,Drama,2,others,others,1,Davidfincher,3
Drama,Thriller,no option,38,others,others,1,Stevenknight,2
Horror,no option,no option,50,others,others,1,Anthonyleonardiiii,1
Music,Drama,no option,12,others,others,4,Clinteastwood,8
Comedy,no option,no option,138,others,others,1,Jasonbateman,1
History,Drama,no option,8,others,others,1,Peterlandesman,2
Comedy,Crime,no option,14,others,others,1,Danielschechter,1
Action,Adventure,Fantasy,19,others,others,1,Zacksnyder,6
Comedy,no option,no option,138,others,others,1,Jefftremaine,2
Mystery,Thriller,Drama,1,others,others,1,Ronhoward,5
Crime,Comedy,Action,1,others,others,1,Matthewvaughn,4
Action,Adventure,Thriller,6,others,others,1,Sammendes,3
Comedy,Drama,Music,2,others,others,1,Richardlagravenese,2
Thriller,Drama,Adventure,1,others,others,1,Ronhoward,5
History,Drama,Thriller,1,others,others,1,Mortentyldum,2
Drama,no option,no option,226,others,others,1,Daviddobkin,2
Action,Adventure,Fantasy,19,others,others,1,Alexproyas,1
ScienceFiction,Adventure,Action,4,others,others,1,Jblakeson,2
Comedy,no option,no option,138,others,others,1,Jonathankesselman,1
Action,Adventure,ScienceFiction,31,MarvelStudios,others,22,Annaboden,2
Adventure,Action,ScienceFiction,8,MarvelStudios,others,22,Anthonyrusso,5
Adventure,ScienceFiction,Action,2,MarvelStudios,others,22,Anthonyrusso,5
Horror,Thriller,no option,78,others,others,1,Traviscluff,1
Drama,Fantasy,no option,7,others,others,1,Apichatpongweerasethakul,1
Mystery,Thriller,Horror,3,others,others,1,M.nightshyamalan,5
Horror,Crime,Mystery,1,others,others,1,Michaelspierig,2
Music,Drama,no option,12,others,others,1,Marcabraham,1
Action,Adventure,Fantasy,19,others,others,1,Jameswan,6
